order_id,log_date,daily_production,machine_assigned
ORD-2026-001,2026-04-01,200,Loom-A1
ORD-2026-001,2026-04-02,210,Loom-A1
ORD-2026-001,2026-04-03,195,Loom-A1
ORD-2026-001,2026-04-04,220,Loom-A2
ORD-2026-001,2026-04-05,205,Loom-A2
ORD-2026-001,2026-04-07,215,Loom-A1
ORD-2026-001,2026-04-08,200,Loom-A1
ORD-2026-001,2026-04-09,210,Loom-A1
ORD-2026-001,2026-04-10,225,Loom-A2
ORD-2026-001,2026-04-11,200,Loom-A2
ORD-2026-001,2026-04-12,215,Loom-A1
ORD-2026-001,2026-04-14,205,Loom-A1
ORD-2026-001,2026-04-15,210,Loom-A1
ORD-2026-001,2026-04-16,220,Loom-A2
ORD-2026-001,2026-04-17,200,Loom-A2
ORD-2026-001,2026-04-18,215,Loom-A1
ORD-2026-001,2026-04-21,210,Loom-A1
ORD-2026-001,2026-04-22,220,Loom-A2
ORD-2026-001,2026-04-23,205,Loom-A2
ORD-2026-001,2026-04-24,215,Loom-A1
ORD-2026-001,2026-04-25,200,Loom-A1
ORD-2026-001,2026-04-28,210,Loom-A1
ORD-2026-001,2026-04-29,220,Loom-A2
ORD-2026-001,2026-04-30,205,Loom-A2
ORD-2026-001,2026-05-01,215,Loom-A1
ORD-2026-002,2026-04-15,30,Loom-B1
ORD-2026-002,2026-04-16,28,Loom-B1
ORD-2026-002,2026-04-17,25,Loom-B2
ORD-2026-002,2026-04-18,22,Loom-B2
ORD-2026-002,2026-04-21,20,Loom-B1
ORD-2026-002,2026-04-22,18,Loom-B1
ORD-2026-002,2026-04-23,25,Loom-B2
ORD-2026-002,2026-04-24,22,Loom-B2
ORD-2026-002,2026-04-25,20,Loom-B1
ORD-2026-002,2026-04-28,18,Loom-B1
ORD-2026-002,2026-04-29,15,Loom-B2
ORD-2026-002,2026-04-30,20,Loom-B2
ORD-2026-002,2026-05-01,22,Loom-B1
ORD-2026-003,2026-03-15,120,Loom-C1
ORD-2026-003,2026-03-16,110,Loom-C1
ORD-2026-003,2026-03-17,115,Loom-C2
ORD-2026-003,2026-03-18,100,Loom-C2
ORD-2026-003,2026-03-21,90,Loom-C1
ORD-2026-003,2026-03-22,85,Loom-C1
ORD-2026-003,2026-03-23,95,Loom-C2
ORD-2026-003,2026-03-24,80,Loom-C2
ORD-2026-003,2026-03-25,90,Loom-C1
ORD-2026-003,2026-03-28,88,Loom-C1
ORD-2026-003,2026-03-29,92,Loom-C2
ORD-2026-003,2026-03-30,85,Loom-C2
ORD-2026-003,2026-03-31,80,Loom-C1
ORD-2026-003,2026-04-01,75,Loom-C1
ORD-2026-003,2026-04-02,78,Loom-C2
ORD-2026-003,2026-04-04,70,Loom-C2
ORD-2026-003,2026-04-05,72,Loom-C1
ORD-2026-003,2026-04-07,68,Loom-C1
ORD-2026-003,2026-04-08,65,Loom-C2
ORD-2026-003,2026-04-09,70,Loom-C2
ORD-2026-003,2026-04-10,68,Loom-C1
ORD-2026-003,2026-04-11,62,Loom-C1
ORD-2026-003,2026-04-14,65,Loom-C2
ORD-2026-003,2026-04-15,60,Loom-C2
ORD-2026-003,2026-04-16,58,Loom-C1
ORD-2026-003,2026-04-17,55,Loom-C1
ORD-2026-003,2026-04-18,52,Loom-C2
ORD-2026-003,2026-04-21,50,Loom-C2
ORD-2026-003,2026-04-22,48,Loom-C1
ORD-2026-003,2026-04-23,50,Loom-C1
ORD-2026-003,2026-04-24,45,Loom-C2
ORD-2026-003,2026-04-25,42,Loom-C2
ORD-2026-003,2026-04-28,40,Loom-C1
ORD-2026-003,2026-04-29,38,Loom-C1
ORD-2026-003,2026-04-30,35,Loom-C2
ORD-2026-003,2026-05-01,32,Loom-C2
ORD-2026-004,2026-04-20,80,Loom-D1
ORD-2026-004,2026-04-21,85,Loom-D1
ORD-2026-004,2026-04-22,88,Loom-D2
ORD-2026-004,2026-04-23,82,Loom-D2
ORD-2026-004,2026-04-24,90,Loom-D1
ORD-2026-004,2026-04-25,85,Loom-D1
ORD-2026-004,2026-04-28,88,Loom-D2
ORD-2026-004,2026-04-29,92,Loom-D2
ORD-2026-004,2026-04-30,85,Loom-D1
ORD-2026-004,2026-05-01,90,Loom-D1
ORD-2026-005,2026-03-01,60,Loom-E1
ORD-2026-005,2026-03-02,55,Loom-E1
ORD-2026-005,2026-03-03,50,Loom-E2
ORD-2026-005,2026-03-04,45,Loom-E2
ORD-2026-005,2026-03-07,48,Loom-E1
ORD-2026-005,2026-03-08,52,Loom-E1
ORD-2026-005,2026-03-09,46,Loom-E2
ORD-2026-005,2026-03-10,42,Loom-E2
ORD-2026-005,2026-03-14,40,Loom-E1
ORD-2026-005,2026-03-15,38,Loom-E1
ORD-2026-005,2026-03-21,35,Loom-E2
ORD-2026-005,2026-03-28,32,Loom-E2
ORD-2026-005,2026-04-04,30,Loom-E1
ORD-2026-005,2026-04-11,28,Loom-E1
ORD-2026-005,2026-04-18,25,Loom-E2
ORD-2026-005,2026-04-25,22,Loom-E2
ORD-2026-005,2026-04-30,20,Loom-E1
ORD-2026-006,2026-04-10,55,Loom-F1
ORD-2026-006,2026-04-11,50,Loom-F1
ORD-2026-006,2026-04-14,48,Loom-F2
ORD-2026-006,2026-04-15,45,Loom-F2
ORD-2026-006,2026-04-16,50,Loom-F1
ORD-2026-006,2026-04-17,46,Loom-F1
ORD-2026-006,2026-04-18,42,Loom-F2
ORD-2026-006,2026-04-21,40,Loom-F2
ORD-2026-006,2026-04-22,38,Loom-F1
ORD-2026-006,2026-04-23,36,Loom-F1
ORD-2026-006,2026-04-24,34,Loom-F2
ORD-2026-006,2026-04-25,32,Loom-F2
ORD-2026-006,2026-04-28,30,Loom-F1
ORD-2026-006,2026-04-29,28,Loom-F1
ORD-2026-006,2026-04-30,26,Loom-F2
ORD-2026-006,2026-05-01,24,Loom-F2
ORD-2026-007,2026-04-01,160,Loom-A3
ORD-2026-007,2026-04-02,165,Loom-A3
ORD-2026-007,2026-04-03,158,Loom-A4
ORD-2026-007,2026-04-04,162,Loom-A4
ORD-2026-007,2026-04-07,170,Loom-A3
ORD-2026-007,2026-04-08,165,Loom-A3
ORD-2026-007,2026-04-09,160,Loom-A4
ORD-2026-007,2026-04-10,168,Loom-A4
ORD-2026-007,2026-04-11,162,Loom-A3
ORD-2026-007,2026-04-14,155,Loom-A3
ORD-2026-007,2026-04-15,160,Loom-A4
ORD-2026-007,2026-04-16,165,Loom-A4
ORD-2026-007,2026-04-17,158,Loom-A3
ORD-2026-007,2026-04-18,162,Loom-A3
ORD-2026-007,2026-04-21,170,Loom-A4
ORD-2026-007,2026-04-22,165,Loom-A4
ORD-2026-007,2026-04-23,160,Loom-A3
ORD-2026-007,2026-04-24,168,Loom-A3
ORD-2026-007,2026-04-25,162,Loom-A4
ORD-2026-007,2026-04-28,158,Loom-A4
ORD-2026-007,2026-04-29,165,Loom-A3
ORD-2026-007,2026-04-30,170,Loom-A3
ORD-2026-007,2026-05-01,162,Loom-A4
ORD-2026-008,2026-04-25,95,Loom-G1
ORD-2026-008,2026-04-28,100,Loom-G1
ORD-2026-008,2026-04-29,98,Loom-G2
ORD-2026-008,2026-04-30,102,Loom-G2
ORD-2026-008,2026-05-01,100,Loom-G1
ORD-2026-009,2026-03-20,40,Loom-H1
ORD-2026-009,2026-03-21,38,Loom-H1
ORD-2026-009,2026-03-22,35,Loom-H2
ORD-2026-009,2026-03-25,32,Loom-H2
ORD-2026-009,2026-03-28,30,Loom-H1
ORD-2026-009,2026-04-01,28,Loom-H1
ORD-2026-009,2026-04-08,25,Loom-H2
ORD-2026-009,2026-04-15,22,Loom-H2
ORD-2026-009,2026-04-22,20,Loom-H1
ORD-2026-009,2026-04-29,18,Loom-H1
ORD-2026-009,2026-05-01,15,Loom-H2
ORD-2026-010,2026-04-28,85,Loom-I1
ORD-2026-010,2026-04-29,90,Loom-I1
ORD-2026-010,2026-04-30,88,Loom-I2
ORD-2026-010,2026-05-01,92,Loom-I2
ORD-2026-011,2026-04-05,70,Loom-J1
ORD-2026-011,2026-04-07,65,Loom-J1
ORD-2026-011,2026-04-08,60,Loom-J2
ORD-2026-011,2026-04-09,55,Loom-J2
ORD-2026-011,2026-04-10,50,Loom-J1
ORD-2026-011,2026-04-14,48,Loom-J1
ORD-2026-011,2026-04-15,45,Loom-J2
ORD-2026-011,2026-04-16,42,Loom-J2
ORD-2026-011,2026-04-17,40,Loom-J1
ORD-2026-011,2026-04-18,38,Loom-J1
ORD-2026-011,2026-04-21,35,Loom-J2
