order_id,product_name,quantity,start_date,due_date
ORD-2026-001,Cotton Bed Sheets,8000,2026-04-01,2026-05-30
ORD-2026-002,Silk Sarees,1200,2026-04-15,2026-05-15
ORD-2026-003,Denim Fabric Roll,15000,2026-03-15,2026-05-10
ORD-2026-004,Wool Blankets,3000,2026-04-20,2026-06-15
ORD-2026-005,Polyester Sports Fabric,10000,2026-03-01,2026-05-05
ORD-2026-006,Linen Curtain Cloth,2500,2026-04-10,2026-05-25
ORD-2026-007,Terry Cloth Towels,6000,2026-04-01,2026-05-31
ORD-2026-008,Georgette Dress Material,4000,2026-04-25,2026-06-30
ORD-2026-009,Nylon Sportswear Fabric,7500,2026-03-20,2026-05-08
ORD-2026-010,Chiffon Scarves,2000,2026-04-28,2026-06-10
ORD-2026-011,Velvet Upholstery Fabric,5000,2026-04-05,2026-05-20
ORD-2026-012,Rayon Dress Material,3500,2026-04-12,2026-05-28
